"She lured Charley on until he did just what she wanted.
","그녀는 찰리가 그녀가 하라는 대로 할 때까지 계속 그를 유혹하였다.
"
"She's American to the core.
","그녀는 틀림없는 미국인이다.
"
"A football game took place yesterday,but he didn't go in.
","어제 축구 대회가 열렸으나 그는 참가하지 않았다.
"
"The speaker has rattled through his written speech.
","강연자는 아주 빠르게 강연원고를 다 읽었다.
"
"His utterances were discreetly academic.
","그의 언론은 엄격하다; 학술성을 갖추고있다.
"
"During the Han Dynasty,the Great Wall was repaired and extended.
","한나라 때 장성은 수리되고 확장되었다.
"
"She entered upon an account of her miserable life before liberation.
","그녀는 그녀가 해방 전에 힘들었던 고난을 이야기 하기 시작했다.
"
"In his preface the author set forth his reasons for writing the book.
","저자는 서문에서 그가 이 책을 쓴 이유를 간단히 밝혔다.
"
"This salt has been purified for use in medicine.
","이러한 종류의 소금은 약으로 사용되도록 이미 정제되었다.
"
"Would you be kind enough to write this letter for me?.
","당신이 나를 도와서 이 편지를 써 주시겠습니까?
"
"Fools rush in where angels fear to tread.
","천사가 우물쭈물하자 어리석은 사람이 경고망동한다.
"
"I shall be happy to have you study at Westminster and meet young women from other sections of our country.
","나는 네가 웨스트민스터에서 공부하고, 우리 나라 다른 지역의 여자를 만나기를 원한다.
"
"The children were banging about noisily.
","아이들은 도처에서 펑펑 소리를 냈다.
"
"The boy backed quietly away and hid himself behind his mother.
","소년은 조용히 뒷걸음쳐 돌아가서 엄마의 등뒤에 숨었다.
"
"The village was bombed in revenge for protecting enemy soldiers.
","이 마을은 적의 사병을 은신시켰기 때문에 보복성 폭격을 당하였다.
"
"He was seen leaving the room.
","누군가 그가 방을 떠나는 것을 보았다.
"
"Girls have a stronger tendency to chatter than boys.
","여자아이가 남자아이보다 더 말이 많은 기질이 있다.
"
"Going out in the rain brought on a fever.
","비를 맞고 외출을 하여 고열이 난다.
"
"His eyes brimmed with tears.
","그의 눈에 눈물이 가득했다.
"
"We tramped the hills.
","우리는 산언덕을 자유롭게 유람했다.
"
"Snails and octopuses are molluscs.
","달팽이와 낙지는 연체동물이다.
"
"We want to stay ahead of the others.
","우리는 계속 다른 사람의 앞에 있어야 한다.
"
"Mr.Jones can read French pretty well.
","존스씨는 불어를 매우 잘 읽을 줄 안다.
"
"She has done a lot of work for the four modernizations.
","그녀는 사대현대화를 위해서 매우 많은 일을 했다.
"
"He is authorized to discuss the terms of an order with you and negotiate a contract.
","또한 전권은 귀사와 주문조건과 계약을 상의하다.
"
"When the baby touched the hot water,he cried out in pain.
","아기는 뜨거운 물을 만지고는 아파서 소리를 질렀다.
"
"This box holds all my books.
","이 상자는 나의 모든 책을 담았다.
"
"The novel sold out quickly.
","소설은 빠르게 전부 팔려 나갔다.
"
"Whoever is the first to finish will get a prize.
","먼저 완성하는 사람이 상을 받을 수 있다.
"
"After ten years in the government she was given a peerage.
","그녀가 정부에서 10년을 임직한 후에 작위가 주어졌다.
"
"Plastics are often used today.
","플라스틱은 현재 상용하는 재료이다.
"
"The exploiting classes resort to every possible means to grind down and exploit the labouring people.
","착취계급은 각종 수단을 동원하여 인민의 노동을 착취하도록 압박한다.
"
"You aren't yourself today.
","너는 오늘 약간 비정상적이다.
"
"Shakespeare's ""Hamlet"" is a very famous tragedy.
","세익스피어의 <햄릿>은 매우 유명한 비극 작품이다.
"
"The news may be unexpected; nevertheless,it is true.
","이 소식은 뜻밖일 수 있으나, 사실이다.
"
